ELCODE,Group,CommonName,ScientificName,Terrestrial/Aquatic,Focal Season,eBird,eBird_Comments,spring_start,spring_end,breed_start,breed_end,fall_start,fall_end
ABNGA01020,Birds,American Bittern,Botaurus lentiginosus,Terrestrial,Breeding,Maybe,"Correct, but hotspot may not be precise.",,,,,,
ABNJB10040,Birds,American Black Duck,Anas rubripes,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNJB10040,Birds,American Black Duck,Anas rubripes,,Migration,Yes,Correct,,,,,,
ABNJB10040,Birds,American Black Duck,Anas rubripes,,Winter,Yes,Correct,,,,,,
ABNME14020,Birds,American Coot,Fulica americana,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNKD06020,Birds,American Kestrel,Falco sparverius,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNF19020,Birds,American Woodcock,Scolopax minor,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC10010,Birds,Bald Eagle,Haliaeetus leucocephalus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC10010,Birds,Bald Eagle,Haliaeetus leucocephalus,,Winter,Yes,Correct,,,,,,
ABPAU08010,Birds,Bank Swallow,Riparia riparia,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNSA01010,Birds,Barn Owl,Tyto alba,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNM10020,Birds,Black Tern,Chlidonias niger,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX05010,Birds,Black-and-white Warbler,Mniotilta varia,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX03120,Birds,Blackburnian Warbler,Setophaga fusca,Terrestrial,Migration,Yes,Correct,,,,,,
ABNGA11010,Birds,Black-crowned Night-Heron,Nycticorax nycticorax,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX03230,Birds,Blackpoll Warbler,Setophaga striata,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX03050,Birds,Black-throated Blue Warbler,Setophaga caerulescens,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX03100,Birds,Black-throated Green Warbler,Setophaga virens,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNJB10130,Birds,Blue-winged Teal,Anas discors,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBX01020,Birds,Blue-winged Warbler,Vermivora cyanoptera,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBXA9010,Birds,Bobolink,Dolichonyx oryzivorus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNKC19050,Birds,Broad-winged Hawk,Buteo platypterus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABNKC19050,Birds,Broad-winged Hawk,Buteo platypterus,,Migration,Yes,Correct,,,,,,
ABPBA01010,Birds,Brown Creeper,Certhia americana,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX16030,Birds,Canada Warbler,Cardellina canadensis,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX03240,Birds,Cerulean Warbler,Setophaga cerulea,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBX03240,Birds,Cerulean Warbler,Setophaga cerulea,,Migration,Yes,Correct,,,,,,
ABNUA03010,Birds,Chimney Swift,Chaetura pelagica,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNME13010,Birds,Common Gallinule,Gallinula galeata,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNTA02020,Birds,Common Nighthawk,Chordeiles minor,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABNNM08070,Birds,Common Tern,Sterna hirundo,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBX65010,Birds,Dickcissel,Spiza americana,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBXB2020,Birds,Eastern Meadowlark,Sturnella magna,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX74030,Birds,Eastern Towhee,Pipilo erythrophthalmus,Terrestrial,Breeding,Yes,Correct,,,,,,
ABPBX74030,Birds,Eastern Towhee,Pipilo erythrophthalmus,,Migration,Yes,Correct,,,,,,
ABNTA07070,Birds,Eastern Whip-poor-will,Antrostomus vociferus,Terrestrial,Breeding,Maybe,Correct,,,,,,
ABPBX94050,Birds,Field Sparrow,Spizella pusilla,Terrestrial,Breeding,Maybe,Correct,,,,,,
