ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IILEYM9370,Lepidoptera,Yankee Dart,Abagrotis brunneipennis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,1,Abagrotis brunneipennis,1,IB,IILEYM9370,
IILEYAR030,Lepidoptera,Doll's Merolonche,Acronicta dolli,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,2,Merolonche dolli,3,IB,IILEYAR030,Doll's Merolonche
IIODO14030,Odonates,Mottled Darner,Aeshna clepsydra,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,3,Aeshna clepsydra,13,ID,IIODO14030,Mottled Darner
IIODO14040,Odonates,Lance-tipped Darner,Aeshna constricta,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"Odonata Central, iNaturalist",,,,,,,,4,Aeshna constricta,7,ID,IIODO14040,Lance-tipped Darner
IMBIV02030,Mussels,Dwarf Wedgemussel,Alasmidonta heterodon,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a,n/a ,n/a,n/a,n/a,n/a,,n/a ,,,,,,,,,,5,Alasmidonta heterodon,17,IU,IMBIV02030,Dwarf Wedgemussel
IMBIV02040,Mussels,Elktoe,Alasmidonta marginata,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,6,Alasmidonta marginata,104,IU,IMBIV02040,Elktoe
IMBIV02090,Mussels,Triangle Floater,Alasmidonta undulata,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,7,Alasmidonta undulata,28,IU,IMBIV02090,Triangle Floater
IMBIV02100,Mussels,Brook Floater,Alasmidonta varicosa,Aquatic,n/a,n/a,n/a,Yes - PNHP Susquehanna,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,8,Alasmidonta varicosa,43,IU,IMBIV02100,Brook Floater
IMBIV03020,Mussels,Three-ridge,Amblema plicata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,,,,,,,,,9,Amblema plicata,79,IU,IMBIV03020,Three-ridge
IILEP80180,Lepidoptera,Common Roadside Skipper,Amblyscirtes vialis,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,,n/a ,,"BAMONA, iNaturalist",,,,,,,,10,Amblyscirtes vialis,10,IB,IILEP80180,Common Roadside Skipper
