ELCODE,SCOMNAME,SNAME,Responsibility,SeasonCode,CAT1_glbl_reg,CAT2_com_sp_com,CAT3_cons_rare_native,CAT4_datagaps,GRANK,SRANK,USESA,SPROT,PBSSTATUS,SENSITV_SP,Agency,Environment,TaxaGroup
ABNJB02010,Tundra Swan,Cygnus columbianus,y,m,4,1,4,6,G5,S3N,,,,N,PGC,t,AB
ABNJB10040,American Black Duck,Anas rubripes,,b,5,2,5,6,G5,"S4B,S4N",,,,N,PGC,t,AB
ABNJB10040,American Black Duck,Anas rubripes,,m,5,2,5,6,G5,"S4B,S4N",,,,N,PGC,t,AB
ABNJB10040,American Black Duck,Anas rubripes,,w,6,2,6,6,G5,"S4B,S4N",,,,N,PGC,t,AB
ABNJB10130,Blue-winged Teal,Anas discors,,b,4,6,2,6,G5,S3B,,,,N,PGC,t,AB
ABNJB10010,Green-winged Teal,Anas crecca,,b,3,5,1,6,G5,"S1S2B,S3N",,,CR,N,PGC,t,AB
ABNJB11070,Lesser Scaup,Aythya affinis,,m,6,6,6,6,G5,S3N,,,,N,PGC,t,AB
ABNJB16010,Long-tailed Duck,Clangula hyemalis,,m,4,4,5,6,G5,SNA,,,,N,PGC,t,AB
ABNJB16010,Long-tailed Duck,Clangula hyemalis,,w,4,4,5,6,G5,SNA,,,,N,PGC,t,AB
ABNLC11010,Ruffed Grouse,Bonasa umbellus,,b,4,1,5,6,G5,S5,,,,N,PGC,t,AB
ABNLC11010,Ruffed Grouse,Bonasa umbellus,,w,6,3,5,6,G5,S5,,,,N,PGC,t,AB
ABNCA02010,Pied-billed Grebe,Podilymbus podiceps,,b,3,4,2,5,G5,"S3B,S4N",,,CR,N,PGC,t,AB
ABNCA03010,Horned Grebe,Podiceps auritus,,w,6,2,3,5,G5,SNA,,,,N,PGC,t,AB
ABNCA03020,Red-necked Grebe,Podiceps grisegena,,w,6,3,3,5,G5,SNA,,,,N,PGC,t,AB
ABNGA01020,American Bittern,Botaurus lentiginosus,,b,3,5,3,6,G4,S1B,,PE,PE,N,PGC,t,AB
ABNGA02010,Least Bittern,Ixobrychus exilis,,b,4,5,3,6,G5,S1B,,PE,PE,N,PGC,t,AB
ABNGA04040,Great Egret,Ardea alba,,b,4,6,3,6,G5,S1B,,PE,PE,N,PGC,t,AB
ABNGA11010,Black-crowned Night-Heron,Nycticorax nycticorax,,b,4,5,3,6,G5,S1B,,PE,PE,N,PGC,t,AB
ABNGA13010,Yellow-crowned Night-Heron,Nyctanassa violacea,,b,4,5,2,6,G5,S1B,,PE,PE,N,PGC,t,AB
ABNKC01010,Osprey,Pandion haliaetus,,b,4,1,3,5,G5,S3B,,PT,PT,N,PGC,t,AB
ABNKC10010,Bald Eagle,Haliaeetus leucocephalus,,b,4,1,3,5,G5,S3B,,DL,PT,N,PGC,t,AB
ABNKC10010,Bald Eagle,Haliaeetus leucocephalus,,w,6,5,5,5,G5,S3B,,DL,PT,N,PGC,t,AB
ABNKC11010,Northern Harrier,Circus cyaneus,,b,4,5,3,6,G5,"S2B,S4N",,PT,PT,N,PGC,t,AB
ABNKC12020,Sharp-shinned Hawk,Accipiter striatus,,b,4,2,4,6,G5,"S4B,S5N",,,,N,PGC,t,AB
ABNKC12020,Sharp-shinned Hawk,Accipiter striatus,,m,6,5,6,6,G5,"S4B,S5N",,,,N,PGC,t,AB
ABNKC12060,Northern Goshawk,Accipiter gentilis,,b,5,6,4,6,G5,"S2S3B,S3N",,,CA,Y,PGC,t,AB
