Common.name,season,start,stop
American Bittern,migration,74,135
American Bittern,migration,258,305
American Bittern,breeding,153,213
American Bittern,winter,305,74
American Black Duck,migration,32,105
American Black Duck,migration,227,334
American Black Duck,breeding,122,213
American Black Duck,winter,334,32
American Coot,migration,81,121
American Coot,migration,227,319
American Coot,breeding,153,213
American Coot,winter,319,81
American Kestrel,migration,75,121
American Kestrel,migration,244,304
American Kestrel,breeding,136,213
American Kestrel,winter,304,75
American Woodcock,migration,46,121
American Woodcock,migration,227,319
American Woodcock,breeding,92,197
American Woodcock,winter,319,46
Bald Eagle,migration,32,121
Bald Eagle,migration,182,319
Bald Eagle,breeding,122,197
Bald Eagle,winter,319,32
Bank Swallow,migration,74,152
Bank Swallow,migration,213,288
Bank Swallow,breeding,153,182
Bank Swallow,winter,288,74
Barn Owl,breeding,111,228
Black Tern,migration,91,152
Black Tern,migration,213,288
Black Tern,breeding,153,197
Black Tern,winter,288,91
Black-and-white Warbler,migration,91,152
Black-and-white Warbler,migration,227,319
Black-and-white Warbler,breeding,153,213
Black-and-white Warbler,winter,319,91
Blackburnian Warbler,migration,91,145
Blackburnian Warbler,migration,227,305
Blackburnian Warbler,winter,305,91
Black-crowned Night-Heron,migration,60,135
Black-crowned Night-Heron,migration,182,349
Black-crowned Night-Heron,breeding,153,182
Black-crowned Night-Heron,winter,349,60
Blackpoll Warbler,migration,91,152
Blackpoll Warbler,migration,227,305
Blackpoll Warbler,breeding,167,228
Blackpoll Warbler,winter,305,91
Black-throated Blue Warbler,migration,91,145
Black-throated Blue Warbler,migration,227,319
Black-throated Blue Warbler,breeding,153,213
Black-throated Blue Warbler,winter,319,91
Black-throated Green Warbler,migration,91,152
Black-throated Green Warbler,migration,227,305
Black-throated Green Warbler,breeding,153,213
Black-throated Green Warbler,winter,305,91
Blue-winged Teal,migration,61,135
Blue-winged Teal,migration,227,305
Blue-winged Teal,breeding,153,213
Blue-winged Teal,winter,305,61
Blue-winged Warbler,migration,91,145
Blue-winged Warbler,migration,213,288
Blue-winged Warbler,breeding,146,197
Blue-winged Warbler,winter,288,91
Bobolink,migration,105,135
Bobolink,migration,227,288
Bobolink,breeding,136,182
Bobolink,winter,288,105
Broad-winged Hawk,migration,74,121
Broad-winged Hawk,migration,244,288
Broad-winged Hawk,breeding,153,213
Broad-winged Hawk,winter,288,74
Brown Creeper,migration,75,121
Brown Creeper,migration,244,305
Brown Creeper,breeding,136,213
Brown Creeper,winter,305,75
Canada Warbler,migration,105,152
Canada Warbler,migration,213,274
Canada Warbler,breeding,153,213
Canada Warbler,winter,274,105
Cerulean Warbler,migration,91,152
Cerulean Warbler,migration,227,305
Cerulean Warbler,breeding,153,213
Cerulean Warbler,winter,305,91
Chimney Swift,migration,74,145
Chimney Swift,migration,227,319
Chimney Swift,breeding,146,213
Chimney Swift,winter,319,74
Common Gallinule,migration,74,135
Common Gallinule,migration,213,288
Common Gallinule,breeding,136,244
Common Gallinule,winter,288,74
Common Nighthawk,migration,91,152
Common Nighthawk,migration,219,305
Common Nighthawk,breeding,157,213
Common Nighthawk,winter,305,91
