Abagrotis brunneipennis
Accipiter gentilis
Accipiter striatus
Acipenser brevirostrum
Acipenser fulvescens
Acipenser oxyrhynchus
Acris crepitans
Acroneuria arenosa
Acroneuria arida
Acroneuria internata
Acronicta dolli
Actitis macularius
Aegolius acadicus
Aeshna clepsydra
Aeshna constricta
Aeshna interrupta
Agapetus iridis
Agkistrodon contortrix
Alasmidonta heterodon
Alasmidonta marginata
Alasmidonta undulata
Alasmidonta varicosa
Allocapnia harperi
Allocapnia simmonsi
Allogona profunda
Alloperla aracoma
Alloperla biserrata
Alloperla concolor
Alloperla idei
Alloperla vostoki
Alosa aestivalis
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Amblema plicata
Amblyscirtes vialis
Ambystoma jeffersonianum
Ambystoma laterale
Ambystoma opacum
Ameiurus catus
Ameiurus melas
Ameletus browni
Ameletus cryptostimulus
Amia calva
Ammocrypta pellucida
Ammodramus henslowii
Ammodramus savannarum
Amnicola decisus
Anafroptilum semirufum
Anas crecca
Anas discors
Anas rubripes
Anax longipes
Anaxyrus fowleri
Aneides aeneus
Anguilla rostrata
Anguispira alternata
Anguispira fergusoni
Anguispira kochi
Anisota stigma
Anodonta implicata
Anodonta suborbiculata
Anodontoides ferussacianus
Anthocharis midea
Antrostomus vociferus
Apamea burgessi
Apamea cristata
Aplectoides condita
Aplexa hypnorum
Apodrepanulatrix liberaria
Appalachia hebardi
Appalachina sayana
Aquila chrysaetos
Arachosia cubana
Arctosa littoralis
Ardea alba
Argia bipunctulata
Argia sedula
Arigomphus furcifer
Artace cribraria
Arthroplea bipunctata
Asio flammeus
Asio otus
Atrytonopsis hianna
Attaneuria ruralis
Autochton cellus
Aythya affinis
Bagisara rectifascia
Bartramia longicauda
Bathyphantes weyeri
Birgella subglobosa
Boloria selene myrina
Bombus affinis
Bombus ashtoni
Bombus terricola
Bonasa umbellus
Botaurus lentiginosus
Brachionycha borealis
Buteo platypterus
Caecidotea franzi
Caecidotea kenki
Caecidotea pricei
Calephelis borealis
Calidris canutus rufa
Callophrys augustinus
Callophrys gryneus
Callophrys henrici
Callophrys irus
Callophrys polios
Calopteryx aequabilis
Calopteryx amata
Calopteryx angustipennis
Calopteryx dimidiata
Capis curvata
Caradrina meralis
Cardellina canadensis
Caripeta aretaria
Carphophis amoenus amoenus–PFBC
Carterocephalus palaemon mandan
Carychium exiguum
Carychium nannodes
Catharus ustulatus
Catocala angusi
Catocala dejecta
Catocala dulciola
Catocala miranda
Catocala robinsonii
Catocala sp. 1 nr. jair
Catocala umbrosa
Catostomus catostomus
Celastrina neglectamajor
Celastrina nigra
Celithemis fasciata
Celithemis martha
Ceraclea alabamae
Ceraclea albosticta
Cerma cora
Certhia americana
Chaetaglaea cerata
Chaetaglaea tremula
Chaetura pelagica
Charadrius melodus
Cheumatopsyche helma
Cheumatopsyche vannotei
Chlidonias niger
Chlosyne harrisii
Chlosyne nycteis
Chordeiles minor
Choroterpes basalis
Chrosomus eos
Chrosomus erythrogaster
Chytonix sensilis
Cicindela ancocisconensis
Cicindela formosa
Cicindela hirticollis
Cicindela marginipennis
Cicindela patruela
Cicindela scutellaris
Cicindela splendida
Cicindela unipunctata
Cicinnus melsheimeri
Circus cyaneus
Cisthene packardii
Cisthene plumbea
Cistothorus palustris
Cistothorus platensis
Citheronia sepulcralis
Clangula hyemalis
Clemmys guttata
Clinostomus elongatus
Clonophis kirtlandii
Coenagrion resolutum
Colias interior
Columella columella
Contopus cooperi
Copivaleria grotei
Cordulegaster bilineata
Cordulegaster erronea
Cordulegaster obliqua
Cordulia shurtleffi
Coregonus artedi
Cottus sp. cf. cognatus
Crambidia pura
Crangonyx dearolfi
Crotalus horridus
Cryptobranchus alleganiensis alleganiensis
Cryptotis parva
Culaea inconstans
Cyclonaias tuberculata
Cygnus columbianus
Cyprogenia stegaria
Danaus plexippus
Dargida rubripennis
Datana ranaeceps
Deroceras laeve
Diarsia rubifera
Dichagyris acclivis
Dichagyris grotei
Discus catskillensis
Discus patulus
Dolichonyx oryzivorus
Dorocordulia lepida
Dryobius sexnotatus
Dumetella carolinensis
Elaphria georgei
Ellipsaria lineolata
Ellipsoptera lepida
Elliptio crassidens
Elliptio fisheriana
Empidonax flaviventris
Empidonax traillii
Emydoidea blandingii
Enallagma anna
Enallagma boreale
Enallagma carunculatum
Enallagma daeckii
Enallagma divagans
Enallagma doubledayi
Enallagma durum
Enallagma laterale
Enneacanthus obesus
Ephemerella aurivillii
Ephemerella excrucians
Ephemerella floripara
Ephemerella inconstans
Ephemerella invaria
Epiglaea apiata
Epioblasma torulosa rangiana
Epioblasma triquetra
Epitheca costalis
Epitheca spinigera
Eptesicus fuscus
Erastria coloraria
Erimystax dissimilis
Erimystax x-punctatus
Erora laeta
Erynnis lucilius
Erynnis martialis
Erynnis persius persius
Erythrodiplax berenice
Erythrodiplax minuscula
Etheostoma exile
Etheostoma maculatum
Etheostoma olmstedi
Etheostoma tippecanoe
Etheostoma variatum
Euchemotrema leai
Euchloe olympia
Euconulus dentatus
Euconulus fulvus
Euphagus carolinus
Euphydryas phaeton
Euphyes bimacula
Euphyes conspicuus
Euphyes dion
Eurylophella bicoloroides
Eurylophella poconoensis
Eurytides marcellus
Exoglossum laurae
Exoglossum maxillingua
Fagitana littera
Falco peregrinus
Falco sparverius
Feniseca tarquinius
Fontigens nickliniana
Fontigens orolibas
Fulica americana
Fusconaia flava
Fusconaia subrotunda
Gallinago delicata
Gallinula galeata
Gammarus cohabitus
Gasterosteus aculeatus
Gastrocopta armifera
Gastrocopta corticaria
Gastrocopta tappaniana
Gastrodonta interna
Geolycosa turricola
Geolycosa wrighti
Geothlypis formosa
Glaucomys sabrinus
Glaucopsyche lygdamus lygdamus
Glena cognataria
Glyphyalinia raderi
Glyptemys insculpta
Glyptemys muhlenbergii
